,key,street,city,state,full_address,long,lat
46,1608701,1233 CAMP JACKSON RD,CAHOKIA,IL,1233 CAMP JACKSON RD CAHOKIA IL,-90.1714897,38.5601051
47,1608702,#6 THE PLAZA,TROY,MO,#6 THE PLAZA TROY MO,-90.9772615,38.9880642
48,1608703,1250 NORTH MARKET ST,SPARTA ,IL,1250 NORTH MARKET ST SPARTA  IL,-89.70229379999999,38.1374036
49,1608704,11296 WEST FLORISSANT,FLORISSANT,MO,11296 WEST FLORISSANT FLORISSANT MO,-90.2788583,38.7744663
50,1608705,12290 ST. CHARLES ROCK ROAD,BRIDGETON,MO,12290 ST. CHARLES ROCK ROAD BRIDGETON MO,-90.42997319999999,38.7526379
51,1608706,21 ADAMS AVE ,FERGUSON,MO,21 ADAMS AVE  FERGUSON MO,-90.3030295,38.74223629999999
52,1608707,1232 EAST MAIN,CARBONDALE ,IL,1232 EAST MAIN CARBONDALE  IL,-89.1934357,37.7323983
53,1608708,12145 MANCHESTER RD,DES PERES,MO,12145 MANCHESTER RD DES PERES MO,-90.4388142,38.6038947
54,1608709,9759 ST. CHARLES ROCK RD,OVERLAND,MO,9759 ST. CHARLES ROCK RD OVERLAND MO,-90.36770039999999,38.721596
55,1608710,7701 OLIVE BLVD,UNIVERSITY CITY,MO,7701 OLIVE BLVD UNIVERSITY CITY MO,-90.33678189999999,38.673049
56,1608711,9274 WATSON RD,CRFESTWOOD,MO,9274 WATSON RD CRFESTWOOD MO,-90.3744676,38.5583553
57,1608712,1665 JUNGERMANN,SAINT CHARLES,MO,1665 JUNGERMANN SAINT CHARLES MO,-90.5913369,38.7437558
58,1608713,7725 MANCHESTER RD,MAPLEWOOD,MO,7725 MANCHESTER RD MAPLEWOOD MO,-90.32745229999999,38.6135621
59,1608714,3616 NATURAL BRIDGE,ST. LOUIS,MO,3616 NATURAL BRIDGE ST. LOUIS MO,-90.2179647,38.6608998
60,1608715,300 THF BLVD,CHESTERFIELD,MO,300 THF BLVD CHESTERFIELD MO,-90.6037817,38.6659222
61,1608716,16 COTTONWOOD RD,GLEN CARBON,IL,16 COTTONWOOD RD GLEN CARBON IL,-89.95504059999999,38.7736951
62,1608717,1716 VANDALIA ST,COLLINSVILLE,IL,1716 VANDALIA ST COLLINSVILLE IL,-89.9710655,38.6902446
63,1608718,702 KINGSHIGHWAY,ST. LOUIS,MO,702 KINGSHIGHWAY ST. LOUIS MO,-90.2617842,38.6521189
64,1608719,8445 LUCAS AND HUNT RD,SAINT LOUIS,MO,8445 LUCAS AND HUNT RD SAINT LOUIS MO,-90.2539828,38.7423661
65,1608720,11185 SOUTH TOWNE SQUARE,SAINT LOUIS,MO,11185 SOUTH TOWNE SQUARE SAINT LOUIS MO,-90.3397612,38.5143086
66,1608721,3865 GRAVOIS,ST. LOUIS,MO,3865 GRAVOIS ST. LOUIS MO,-90.251003,38.5932134
