,key,street,city,state,full_address,long,lat
199,104222,1410 NORTH MARKET,SPARTA,IL,1410 NORTH MARKET SPARTA IL,-89.7017431,38.1415714
200,104252,215 GRANT WAY,DUQUOIN,IL,215 GRANT WAY DUQUOIN IL,-89.2381034,37.9975133
201,1043022,6495 COUNTRY CLUB ROAD,MURPHYSBORO,IL,6495 COUNTRY CLUB ROAD MURPHYSBORO IL,-89.28309279999999,37.7596276
202,10435,12495 STATE RTE 143,HIGHLAND,IL,12495 STATE RTE 143 HIGHLAND IL,-89.6836776,38.7609329
203,1608554,3390 NORTH HIGHWAY 67,FLORISSANT,MO,3390 NORTH HIGHWAY 67 FLORISSANT MO,-90.2928242,38.8113545
204,1608566,7437 WATSON RD,SHREWSBURY,MO,7437 WATSON RD SHREWSBURY MO,-90.32792979999999,38.5802312
205,1608641,HWY 150/2206 STATE S,CHESTER,IL,HWY 150/2206 STATE S CHESTER IL,-89.80445569999999,37.9254371
206,1608644,45 SUTTERS MILL RD,ST. PETERS,MO,45 SUTTERS MILL RD ST. PETERS MO,-90.5802435,38.7788145
207,1608645,3031 MID RIVERS MALL DR,ST. PETERS,MO,3031 MID RIVERS MALL DR ST. PETERS MO,-90.6260424,38.7734279
208,1608815,1101 BELTLINE RD,COLLINSVILLE,IL,1101 BELTLINE RD COLLINSVILLE IL,-89.986738,38.6927855
209,1609039,100 OZARK DR ,CUBA,MO,100 OZARK DR  CUBA MO,-91.4018911,38.0732525
210,235791,1900 MAPELWOOD COMMONS,MAPLEWOOD,MO,1900 MAPELWOOD COMMONS MAPLEWOOD MO,-90.3310159,38.6213799
211,31684,2897 VETERANS MEMORIAL PKWY,ST CHARLES,MO,2897 VETERANS MEMORIAL PKWY ST CHARLES MO,-90.5267252,38.7820166
212,379999,379 WEST PONTOON RD,GRANITE CITY,IL,379 WEST PONTOON RD GRANITE CITY IL,-90.14145429999999,38.7365698
213,63699,201 HIGHLANDS BLVD DR,MANCHESTER,MO,201 HIGHLANDS BLVD DR MANCHESTER MO,-90.50673479999999,38.5959966
